s_id,title,duration,tempo,a_id
SOKWQEG12B20E5E4B8,I ll Be Back,140.43383,124.156,10
SOGHOPB12B20E5E435,And I Love Her,151.09179,113.726,10
SOYDQDK12B20E5E496,Any Time At All,133.40689,141.428,10
SOVITMS12B20E5E550,I ll Cry Instead,107.75465,96.714,10
SOHQYME12B20E5E476,A Hard Day s Night,152.55465,92.245,10
SOLNDRO12B20E5E4F6,I'm Happy Just To Dance With You (Mono),118.69995,88.156,10
SOLVJWV12B20E5E455,I SHOULD HAVE KNOWN BETTER,164.10077,130.814,10
SOGAUDQ12B20E5E4B9,I'm Only Sleeping,181.68118,104.349,11
SOLSUML12B20E5E4A9,Doctor Robert,135.20934,163.93,11
SOAKFJL12B20E5E495,THERE AND EVERYWHERE,145.8673,82.82,11
SORWIGF12B20E5E415,I Want to Tell You,149.89016,128.001,11
SOQRSUS12B20E5E52C,Eleanor Rigby,127.68608,137.878,11
SOTAYIE12B20E5E436,Good Day Sunshine,129.77587,116.822,11
SOPTNHO12B20E5E504,Taxman,159.00689,133.024,11
SOUQJEN12B20E5E454,Tomorrow Never Knows,177.26649,126.416,11
SOLMZJB12B20E5E4C5,Got to Get You Into My Life,150.64771,137.126,11
SOMYSHO12B20E5E414,Yellow Submarine,160.41751,111.581,11
SOLQAUB12B20E5E4FB,And Your Bird Can Sing,121.75628,132.933,11
SOBRCDM12B20E5E443,For No One,121.73016,81.903,11
SOMWUUY12B20E5E4F3,She Said She Said,157.1522,106.361,11
SOAGOMZ12B20E5E4E5,Love You To,181.21098,125.783,11
SOOCBHL12B20E5E416,P.S. I Love You,125.75302,134.326,12
SOZWNGT12B20E5E48B,Love Me Do,142.75873,147.862,12
SOMRCCD12B20E5E41D,A Taste Of Honey,125.1522,99.691,12
SOOVVAN12B20E5E4EF,Ask Me Why,147.77424,89.533,12
SOGKHTR12B20E5E4FF,Boys,147.51302,142.458,12
SOIECCX12B20E5E536,Chains,146.49424,129.905,12
SOYUKLO12B20E5E521,Anna (Go To Him),177.57995,109.577,12
SOLUXYC12B20E5E4F1,Do You Want To Know A Secret,119.35302,124.45,12
SORLWNM12B20E5E539,Please Please Me,123.37587,138.727,12
SOFJGFM12B20E5E497,I Saw Her Standing There,175.80363,160.35,12
SOBDFTR12B20E5E493,Misery,110.18404,133.215,12
SORHZNC12B20E5E530,Baby It's You,158.06649,112.496,12
SOXELFI12B20E5E41C,There's A Place,112.87465,141.448,12
SOPRDVX12B0B807DD0,Twist and Shout,153.15546,125.124,12
